""	"A"	"Coef"	"t"	"p.value"	"p.value.adj"	"F"	"F.p.value"	"ID"	"M1"	"M2"	"M3"	"M4"	"M5"	"M6"	"M7"	"M8"	"M9"	"H1"	"H2"	"H3"	"H4"	"H5"	"H6"	"H7"	"H8"	"H9"	"N"	"log2.avg.H.M"	"log2.sd.H.M"	"log2.N.H.M"	"log2.avg.I"	"log2.H.M.1"	"log2.H.M.2"	"log2.H.M.3"	"log2.H.M.4"	"log2.H.M.5"	"log2.H.M.6"	"log2.H.M.7"	"log2.H.M.8"	"log2.H.M.9"	"nID"
"M-phase-specific PLK1-interacting protein [MPLKIP ...] [Q8TAP9 ...]"	20.9	-0.551	-0.85	0.40441	0.591614	0.73	0.40441	"M-phase-specific PLK1-interacting protein [MPLKIP ...] [Q8TAP9 ...]"	22.8278039637215	19.4490665317203	22.0457828254912	21.3483232959167	21.9021646755714	21.0616243313572	19.8530288883711	20.8112120783205	21.3086765244548	21.5306482965698	19.9553637357429	20.3313909882292	20.6672138792342	21.1995601881763	20.6331283448479	19.9436869745854	20.8095928856621	20.5746673666527	18	-0.551379999999999	0.691920825618799	9	22.1582611706476	-1.29715	0.50629	-1.71439	-0.68111	-0.702599999999997	-0.42849	0.0906599999999997	-0.00161999999999907	-0.734009999999998	175
"Charged multivesicular body protein 2b [CHMP2B ...] [Q9UQN3 ...]"	24.16	-0.536	-0.66	0.51717	0.691059	0.44	0.51717	"Charged multivesicular body protein 2b [CHMP2B ...] [Q9UQN3 ...]"	21.7528650502179	25.1964650312048	25.357993702568	24.543721658949	25.2352840832378	24.1097552262324	25.5265942982111	24.0661985342716	24.0761460608898	22.0124907669943	24.3615493794493	22.508489623517	24.7775601046076	24.7531580868773	24.3181569128455	23.2545410201794	24.4288707520895	24.630168081985	18	-0.53556	1.23662614955976	9	25.472107510096	0.259619999999998	-0.83492	-2.8495	0.233840000000001	-0.482119999999998	0.208399999999997	-2.27205	0.362670000000001	0.554020000000001	176
"Nuclear pore complex protein Nup98-Nup96 [NUP98 ...] [P52948 ...]"	24.54	-0.529	-0.57	0.57542	0.732137	0.33	0.57542	"Nuclear pore complex protein Nup98-Nup96 [NUP98 ...] [P52948 ...]"	25.0911317644124	24.1376796412663	23.9971291707929	23.6871803612462	26.0686160583202	26.6652132861431	23.425748674462	23.6694424585546	26.5265029620162	24.366768262876	23.5589896428787	23.5828559586948	23.5551801118073	25.1788625517649	25.934061142984	23.0392024601228	23.3619969722304	25.9310850437399	18	-0.528847777777778	0.238801673558717	9	26.0536904887352	-0.724360000000001	-0.578689999999998	-0.414269999999998	-0.132000000000001	-0.889759999999999	-0.73115	-0.38655	-0.307440000000003	-0.595409999999998	177
"Thioredoxin [PDIA3 ...] [H7BZJ3 ...]"	22.67	-0.528	-0.94	0.36128	0.552761	0.88	0.36128	"Thioredoxin [PDIA3 ...] [H7BZJ3 ...]"	23.1594345109105	22.8215047653343	23.4974800423093	23.3100760972045	22.9811427605835	23.067438247912	22.929027012036	23.5055190756569	21.14189567977	23.1749804959411	23.1375220114227	22.9059531087867	22.7967567539175	22.5641633550104	22.7237688300414	22.1513667591685	22.0922978428006	20.1166296758246	18	-0.527786666666667	0.518602993965518	9	23.8442211037012	0.0155500000000011	0.316019999999998	-0.591529999999999	-0.51332	-0.416979999999999	-0.343670000000003	-0.777660000000001	-1.41322	-1.02527	178
"Chromosome transmission fidelity protein 8 homolog isoform 2 [CHTF8 ...] [P0CG12 ...]"	23.14	-0.526	-0.53	0.60441	0.750082	0.28	0.60441	"Chromosome transmission fidelity protein 8 homolog isoform 2 [CHTF8 ...] [P0CG12 ...]"	23.4911066979998	20.5864035955709	23.3211651382884	25.2272745605273	24.8784723077368	25.7231914785253	23.6329723502814	23.1081849660824	20.622692774013	20.9315596503905	21.1982590554851	22.3268235534202	24.668533381556	24.2785254675859	24.7685463871404	23.893947078161	22.3908790118203	21.3988906349351	18	-0.526164444444444	1.01188757975023	9	24.9019259972719	-2.55955	0.61186	-0.994349999999997	-0.55874	-0.59994	-0.954639999999998	0.26098	-0.717300000000002	0.776200000000003	179
"Far upstream element-binding protein 1 [FUBP1 ...] [Q96AE4 ...]"	23.27	-0.522	-1.26	0.22394	0.412804	1.59	0.22394	"Far upstream element-binding protein 1 [FUBP1 ...] [Q96AE4 ...]"	23.1503628932226	24.844187090162	23.05763143986	23.0573479310633	23.5523028813907	23.3100760972045	23.5504383942538	22.7784714317161	24.5214968832021	22.7886526822291	22.5925372120477	22.6919429510101	22.985080281854	23.062183753928	23.0015031414748	23.196135629846	23.438022124232	23.3650252158548	18	-0.522359999999999	0.799794585612457	9	24.4107889461873	-0.361709999999999	-2.25165	-0.365690000000001	-0.0722699999999996	-0.490119999999997	-0.308579999999999	-0.354299999999999	0.659550000000003	-1.15647	180
"Pre-mRNA-splicing regulator WTAP [WTAP ...] [Q15007 ...]"	24.42	-0.504	-1.07	0.29877	0.494742	1.14	0.29877	"Pre-mRNA-splicing regulator WTAP [WTAP ...] [Q15007 ...]"	25.524568746775	25.4273933974494	25.7763082163886	23.3999273955281	23.2485773074253	24.0566524351173	24.1555385482774	25.0363280294872	25.4118399697792	24.6745188041818	24.4468927331816	24.6998301170518	22.6765649830627	23.1534890318748	23.6808170113391	24.420440622048	24.8343838539999	24.9169702976118	18	-0.503693333333334	0.445648159959177	9	25.6610286485137	-0.85005	-0.980499999999999	-1.07648	-0.723370000000003	-0.095089999999999	-0.375830000000001	0.264900000000001	-0.20195	-0.494870000000002	181
"Histidine triad nucleotide-binding protein 1 [HINT1 ...] [P49773 ...]"	26.27	-0.503	-1.76	0.09521	0.238145	3.1	0.09521	"Histidine triad nucleotide-binding protein 1 [HINT1 ...] [P49773 ...]"	26.5173269587458	25.9835385768465	25.8579534899294	27.086154793377	27.1745482192358	27.1967803252433	26.0566072321709	26.5192059123611	26.3224229335963	25.4799240014036	25.486221876996	25.6696182758637	26.5726834042234	26.6321528582157	26.8524878185624	25.6669362646792	25.7478517053409	26.0782899855512	18	-0.503153333333334	0.265369696885308	9	27.3814341125702	-1.03741	-0.497320000000002	-0.188330000000001	-0.513470000000002	-0.542400000000001	-0.344290000000001	-0.389669999999999	-0.771360000000001	-0.244130000000002	182
"Proteasome activator complex subunit 1 [PSME1 ...] [Q06323 ...]"	26.85	-0.489	-3.09	0.00621	0.029691	9.57	0.00621	"Proteasome activator complex subunit 1 [PSME1 ...] [Q06323 ...]"	27.1609895466465	27.0896035772576	27.0146869805484	27.4597778685559	27.2540180888076	27.1515114630356	26.9064799646248	26.8748732124147	26.9240976982628	26.6760374113544	26.439652413091	26.6823462292637	26.5103477286212	26.8483851285075	26.8652215092377	26.5142023607765	26.5578849278964	26.3426815341924	18	-0.488808888888889	0.211537429515703	9	27.8797671600968	-0.484950000000001	-0.64995	-0.332340000000002	-0.94943	-0.405630000000002	-0.286289999999997	-0.39228	-0.316990000000001	-0.581419999999998	183
"Scaffold attachment factor B2 [SAFB2 ...] [Q14151 ...]"	25.23	-0.489	-1.72	0.1017	0.248354	2.97	0.1017	"Scaffold attachment factor B2 [SAFB2 ...] [Q14151 ...]"	25.6786839255604	25.7161855846506	25.9286721002729	25.2133029652036	24.6120060486604	25.7990179422716	25.126612654628	25.4627500798458	25.7712608439258	24.6406220776412	24.7858107178079	24.9583342436008	24.7302559687225	24.6018712091759	24.7153454807667	25.1456876298859	25.6897751382523	25.6428858404314	18	-0.488654444444445	0.525814057346109	9	26.3084123162365	-1.03806	-0.93038	-0.97034	-0.483039999999999	-0.0101399999999998	-1.08367	0.0190799999999989	0.227029999999999	-0.12837	184
"Transcription elongation factor SPT5 [SUPT5H ...] [O00267 ...]"	22.87	-0.472	-0.46	0.64952	0.775645	0.21	0.64952	"Transcription elongation factor SPT5 [SUPT5H ...] [O00267 ...]"	21.8423405718485	23.3069025459567	21.8818529832353	26.0988601335131	22.5048222811653	22.5993936306214	25.7979347920617	21.786673350706	22.1178705787215	22.8255149282744	23.3590316209346	22.2973846300725	23.3868516818961	22.5342016382688	23.2207577104312	22.8204237386905	20.4698952973957	22.7784714317161	18	-0.471567777777778	1.49659713766579	9	24.637555971288	0.983170000000001	0.0521300000000018	0.41553	-2.71201	0.0293799999999997	0.621369999999999	-2.97751	-1.31677	0.660599999999999	185
"Splicing factor 3B subunit 2 [SF3B2 ...] [Q13435 ...]"	26.1	-0.471	-2.26	0.03616	0.11708	5.12	0.03616	"Splicing factor 3B subunit 2 [SF3B2 ...] [Q13435 ...]"	26.6884355730004	26.9134551635661	26.8952686841488	26.4437264111889	25.9608910611611	26.135647866441	26.0939804889883	26.054579938419	25.8652299334764	26.0030467606148	26.145185889149	25.9891999723476	25.8235169848401	25.8508300601878	25.6658057252475	25.6318896120982	26.1035372278435	25.5959428929227	18	-0.471362222222222	0.313704601527367	9	27.158410356026	-0.685389999999998	-0.768270000000001	-0.90607	-0.62021	-0.110060000000001	-0.469839999999998	-0.46209	0.0489599999999975	-0.269290000000002	186
"Non-specific lipid-transfer protein [SCP2 ...] [P22307 ...]"	24.37	-0.455	-1.5	0.15102	0.318122	2.25	0.15102	"Non-specific lipid-transfer protein [SCP2 ...] [P22307 ...]"	24.0116137512055	24.7775601046076	24.6121897707936	25.2370560011255	24.5924688688359	24.3550610062007	24.8600866174828	24.2063092037745	24.7419844268635	24.0940559996051	24.0972909280651	23.2476724051923	24.7057594713789	24.3397347337566	24.2228730764908	24.3834970332273	23.837786166218	24.3686760423876	18	-0.45522	0.408102648300644	9	25.4341441949308	0.0824499999999979	-0.68027	-1.36452	-0.531299999999998	-0.252739999999999	-0.132190000000001	-0.476589999999998	-0.36852	-0.3733	187
"Cathepsin L1 [CTSL1 ...] [P07711 ...]"	23.02	-0.437	-0.43	0.6725	0.790311	0.19	0.6725	"Cathepsin L1 [CTSL1 ...] [P07711 ...]"	24.19795400092	19.7344988134407	NA	23.5692388926684	23.5259298538311	23.3682237285636	23.6052325202503	24.462079265257	23.5226365145285	23.6838085282323	19.730170165751	NA	22.9269123407607	23.1140983927454	23.1110968051812	22.9621457807206	23.7233902803167	23.1339635768392	16	-0.450025	0.239871424070718	8	24.2134897007581	-0.514139999999998	-0.0043299999999995	NA	-0.642330000000001	-0.411829999999998	-0.25712	-0.643079999999998	-0.738690000000002	-0.388680000000001	188
"RNA-binding protein 38 [RBM38 ...] [Q9H0Z9 ...]"	23.25	-0.449	-0.45	0.65558	0.780574	0.21	0.65558	"RNA-binding protein 38 [RBM38 ...] [Q9H0Z9 ...]"	22.7787549421614	22.6094279363307	22.6511109873846	23.1474532242991	24.5816547467263	24.887571857187	22.4751211857725	24.9418884829488	23.1609781597231	25.6724745293467	21.9004077501441	21.3703121281201	22.584147692797	23.7167854691842	23.6696669728189	21.4398847934506	24.7474827010783	22.0948477482054	18	-0.44866	1.29903000738051	9	24.7954649613185	2.89372	-0.709019999999999	-1.2808	-0.563299999999998	-0.86486	-1.2179	-1.03524	-0.194410000000001	-1.06613	189
"Cytochrome c oxidase copper chaperone [COX17 ...] [C9J8T6 ...]"	21.19	-0.442	-1.17	0.25789	0.460136	1.36	0.25789	"Cytochrome c oxidase copper chaperone [COX17 ...] [C9J8T6 ...]"	20.8605191096548	21.1809148810152	21.1465864530361	21.236557033088	22.031833773354	21.9735124847443	21.1027885613099	21.4234330788573	21.7003495228578	19.4434651132412	20.7842554368791	20.2667732306873	20.9358681540561	21.5604861523578	21.9074340367257	21.5168913854623	21.2171613989908	21.0481619970812	18	-0.441776666666666	0.517115304550156	9	22.2968025601978	-1.41705	-0.396650000000001	-0.879819999999999	-0.300689999999999	-0.471339999999998	-0.0660799999999995	0.414100000000001	-0.20627	-0.652190000000001	190
"tRNA-splicing ligase RtcB homolog [C22orf28 ...] [Q9Y3I0 ...]"	22.98	-0.44	-1.84	0.08205	0.212769	3.39	0.08205	"tRNA-splicing ligase RtcB homolog [C22orf28 ...] [Q9Y3I0 ...]"	23.1239177760889	22.7448722003063	23.0222372952651	23.7542007087534	22.8812670650176	23.186418366007	23.5427139335103	23.4858083420032	23.0165627418821	22.7364085031873	22.5456646216932	22.75794492988	22.9170156986177	22.6225416382329	23.0708685913588	22.6279322488327	23.1052241577689	22.410832594093	18	-0.440397777777777	0.28370201959	9	24.0193531290552	-0.387509999999999	-0.199209999999997	-0.264299999999999	-0.83718	-0.25873	-0.115549999999999	-0.91478	-0.380590000000002	-0.605729999999998	191
"Protein FAM53B [FAM53B ...] [Q14153 ...]"	20.72	-0.457	-1.02	0.32433	0.513774	1.04	0.32433	"Protein FAM53B [FAM53B ...] [Q14153 ...]"	21.3394835643776	20.7871372760026	NA	21.4908979373517	NA	19.8675615440489	20.8483340001022	20.6197557576367	21.5996778198698	20.6256494359839	20.6271351957683	NA	20.5359310229913	NA	19.4528322970384	20.6904544037696	20.3801052832955	21.1689929663445	14	-0.438821428571429	0.299728853156124	7	21.4584047926367	-0.713829999999998	-0.16	NA	-0.954969999999999	NA	-0.414730000000002	-0.157880000000002	-0.239650000000001	-0.430689999999998	192
"Phosphoglycerate kinase 1 [PGK1 ...] [P00558 ...]"	26.3	-0.437	-1.81	0.08625	0.219929	3.29	0.08625	"Phosphoglycerate kinase 1 [PGK1 ...] [P00558 ...]"	25.7480641665286	26.0158718116521	26.4041014870801	27.1092586871819	26.8026730312441	27.1318448804923	26.5465450769356	26.3756993213833	26.4983529057247	25.5916988582729	25.9649397828858	25.9770639909894	26.3456851234406	26.1158777721749	26.0576721596646	25.983248166134	26.5693027930886	26.0908705251932	18	-0.437337777777777	0.390098565678527	9	27.3588950276106	-0.156359999999999	-0.050930000000001	-0.427039999999998	-0.763569999999998	-0.686789999999998	-1.07417	-0.563299999999998	0.1936	-0.40748	193
"Chromatin complexes subunit BAP18 [C17orf49 ...] [H0YIS7 ...]"	24.21	-0.432	-1.28	0.21666	0.404095	1.64	0.21666	"Chromatin complexes subunit BAP18 [C17orf49 ...] [H0YIS7 ...]"	23.6653869843363	24.7860675570589	24.1757754199345	24.7635003900901	24.9196561409108	24.3387834261293	24.4028711911192	24.3975097797467	24.376192845951	23.650431790214	23.7877869858466	24.1477819206962	24.5748437167862	24.4046653461315	24.8915544384005	23.9736093178176	22.8015220241145	23.7072408923706	18	-0.431813333333333	0.622967722398199	9	25.2958203682966	-0.0149599999999985	-0.998279999999998	-0.0279999999999987	-0.188660000000002	-0.514990000000001	0.552769999999999	-0.429259999999999	-1.59599	-0.668950000000002	194
"Golgin subfamily A member 3 [GOLGA3 ...] [Q08378 ...]"	24.32	-0.427	-0.43	0.66917	0.789074	0.19	0.66917	"Golgin subfamily A member 3 [GOLGA3 ...] [Q08378 ...]"	25.7131371437701	25.7766263280984	25.9689838940334	21.3195549020651	24.1827869484212	20.8243618853651	25.8086289247032	25.6979271760089	25.5354515863077	25.0175623338005	25.2390107456147	25.907342449368	21.6124578106079	22.6577243760923	21.1834718149426	25.0753565230191	25.5017450606157	24.7887844214283	18	-0.427112222222222	0.592571195760007	9	26.0472311036755	-0.69558	-0.53762	-0.061639999999997	0.292909999999999	-1.52507	0.359110000000001	-0.733270000000001	-0.196179999999998	-0.746670000000002	195
"Double-stranded RNA-specific adenosine deaminase [ADAR ...] [E7ENU4 ...]"	25.52	-0.425	-0.83	0.41885	0.604566	0.68	0.41885	"Double-stranded RNA-specific adenosine deaminase [ADAR ...] [E7ENU4 ...]"	25.9085474215161	26.1871605254493	26.0626717590731	25.3189536786361	26.0944079994	25.7130906426594	25.010478960073	25.7101101826354	25.6101847425527	25.6023475199632	25.8194548607726	24.935486555919	25.0926824227888	25.5636596845199	27.6388345781718	24.3699599041533	24.3463513335642	24.4238460046413	18	-0.424775555555556	0.974323462910432	9	26.7560293297591	-0.3062	-0.367709999999999	-1.12718	-0.22627	-0.530750000000001	1.92574	-0.640520000000002	-1.36376	-1.18633	196
"U6 snRNA-associated Sm-like protein LSm5 [LSM5 ...] [Q9Y4Y9 ...]"	22.95	-0.423	-1.02	0.32153	0.511154	1.04	0.32153	"U6 snRNA-associated Sm-like protein LSm5 [LSM5 ...] [Q9Y4Y9 ...]"	23.6228756083046	23.1050857824848	23.2419555863499	23.6141470478064	22.0717522952009	22.5089695831221	22.9531764367501	23.8749089339314	23.4569618795969	23.05763143986	22.8278039637215	22.8095186050265	23.1630942586998	21.53506166059	22.1456288108829	22.8090344078199	23.4141971795838	22.8779541545419	18	-0.423326666666666	0.142454028461816	9	24.0556149597026	-0.565249999999999	-0.277290000000001	-0.43244	-0.451059999999998	-0.53669	-0.363340000000001	-0.14415	-0.460709999999999	-0.57901	197
"Nuclear factor NF-kappa-B p105 subunit [NFKB1 ...] [P19838-2 ...]"	22.88	-0.421	-0.98	0.33954	0.532814	0.96	0.33954	"Nuclear factor NF-kappa-B p105 subunit [NFKB1 ...] [P19838-2 ...]"	23.5948786672489	23.735563300943	23.8359699622319	22.6289139656809	22.9945210838414	23.2175416061653	22.9188128597861	22.8507109040747	22.0809242376271	22.8620518185695	22.3683898603795	23.3508209709752	22.7448722003063	21.0582248660744	21.9375393065433	22.9472422053679	23.1170558095215	23.6804815036306	18	-0.421238888888889	1.06513094965413	9	24.0259169984578	-0.73283	-1.36717	-0.485150000000001	0.115959999999998	-1.9363	-1.28	0.0284300000000002	0.266349999999999	1.59956	198
"Cytochrome c oxidase subunit 7C, mitochondrial [COX7C ...] [P15954 ...]"	21.89	-0.414	-1.14	0.26722	0.467248	1.31	0.26722	"Cytochrome c oxidase subunit 7C, mitochondrial [COX7C ...] [P15954 ...]"	22.2113114740423	21.5372794687279	21.9641199534228	22.467683542229	22.4104888996578	21.6907025419239	22.0922978428006	22.1288025669199	22.4156122380384	21.8632881863652	21.0250350313474	20.6605385552357	22.7580518399563	22.8544596335544	22.0067905467875	21.4932014446176	21.2766416769157	21.2499660630421	18	-0.414478888888889	0.648251965046085	9	23.0074136706724	-0.348020000000002	-0.512239999999998	-1.30358	0.290369999999999	0.44397	0.316089999999999	-0.5991	-0.852159999999998	-1.16564	199
"Vasodilator-stimulated phosphoprotein [VASP ...] [P50552 ...]"	26.17	-0.414	-1.61	0.12492	0.283147	2.59	0.12492	"Vasodilator-stimulated phosphoprotein [VASP ...] [P50552 ...]"	26.3853087464069	26.3794350808248	26.295505896197	26.3156254405871	26.4881410397712	26.4437264111889	26.3786677947011	26.3157005737218	26.3819716681747	25.7763082163886	25.8869303633703	24.7103229599621	26.1388640184834	26.5518344282389	26.1678316207316	26.0995304336631	26.1410797796743	26.185276270282	18	-0.414014444444445	0.479860121991584	9	27.2141974796434	-0.609000000000002	-0.492509999999999	-1.58519	-0.176769999999998	0.0636899999999976	-0.2759	-0.279139999999998	-0.174620000000001	-0.19669	200
"Heat shock 70 kDa protein 1A/1B [HSPA1B ...] [H0YG33 ...]"	26.99	-0.412	-1.04	0.31208	0.504734	1.08	0.31208	"Heat shock 70 kDa protein 1A/1B [HSPA1B ...] [H0YG33 ...]"	26.9637410853472	27.9098073286613	27.691378141389	26.5068404892403	26.4516072008871	26.8447517184405	27.7851290794004	26.9161529633554	27.655891018472	26.8516821853274	27.419001403409	27.5465325895103	26.9401313312278	25.8063303200285	25.5941683337877	26.7374234113755	26.8935451705468	27.2291326426501	18	-0.411928888888888	0.523888427683903	9	28.1089376282726	-0.11206	-0.49081	-0.144849999999998	0.43329	-0.64528	-1.25058	-1.04771	-0.0225999999999971	-0.426759999999998	201
"Myosin-9 [MYH9 ...] [P35579 ...]"	29.86	-0.406	-2.41	0.02683	0.092777	5.8	0.02683	"Myosin-9 [MYH9 ...] [P35579 ...]"	30.606599430384	30.2809124925828	30.120731897158	29.733613799129	29.9894447865074	29.9867799308738	29.8682016904576	30.1249918993246	29.8636186325621	29.8605377140438	29.6632701574251	29.6658633127693	29.6615268597147	29.4449005445605	29.7325616660151	29.670128088914	29.6117496212958	29.6108490077219	18	-0.405943333333333	0.22213969225467	9	30.8893750402218	-0.74606	-0.617639999999998	-0.45487	-0.0720799999999997	-0.544539999999998	-0.25422	-0.198070000000001	-0.51324	-0.252770000000002	202
"Optineurin [OPTN ...] [Q96CV9 ...]"	26.44	-0.399	-1.09	0.28914	0.488896	1.19	0.28914	"Optineurin [OPTN ...] [Q96CV9 ...]"	27.3962843973979	27.3479433509511	27.3764560542691	25.19252807596	25.7192701409305	25.3097690726534	26.8203311146578	27.2505645953301	27.3240233124173	26.5949110699324	26.5654852870542	26.4225960703867	25.7058120188585	25.7192701409305	25.4302205108767	26.4886617370824	26.5959915083325	26.622819133288	18	-0.399043333333334	0.504884072931599	9	27.6132520243516	-0.801370000000002	-0.782450000000001	-0.953860000000002	0.513279999999998	0	0.120449999999998	-0.331669999999999	-0.65457	-0.7012	203
"Transforming acidic coiled-coil-containing protein 3 [TACC3 ...] [Q9Y6A5 ...]"	25.41	-0.399	-0.86	0.40087	0.591164	0.74	0.40087	"Transforming acidic coiled-coil-containing protein 3 [TACC3 ...] [Q9Y6A5 ...]"	26.5023292641969	25.8235169848401	25.0857399212565	25.0987909869803	25.2111529108675	24.9299883116693	25.0870452341404	26.0454185709924	26.712662483685	25.8230454346985	25.8092630015812	25.7019102412966	23.9723552085281	23.9554922325009	23.9004524050391	25.9301126873477	25.7709720639093	26.0454185709924	18	-0.398625555555556	0.753983629532351	9	26.612209645442	-0.679280000000002	-0.0142600000000002	0.61617	-1.12643	-1.25566	-1.02954	0.843059999999998	-0.274450000000002	-0.66724	204
"Protein S100-A4 [S100A4 ...] [P26447 ...]"	27.03	-0.395	-1.68	0.1097	0.261235	2.83	0.1097	"Protein S100-A4 [S100A4 ...] [P26447 ...]"	26.9792413100726	27.0711316254957	27.4222523670278	27.5894434150249	27.5214115668304	27.2097623469248	27.0601494487696	27.2291326426501	26.9868433888706	27.1433108602591	27.2755293004933	27.2833679226546	26.6559687414388	26.5138431987423	25.8747636014935	26.9532415184457	26.759844569481	27.0577675061889	18	-0.394635555555556	0.569191690779809	9	28.0799841887214	0.164069999999999	0.2044	-0.138879999999997	-0.93347	-1.00757	-1.335	-0.106909999999999	-0.469290000000001	0.0709300000000006	205
"Rho GDP-dissociation inhibitor 1 [ARHGDIA ...] [P52565 ...]"	24.89	-0.393	-0.81	0.43081	0.617461	0.65	0.43081	"Rho GDP-dissociation inhibitor 1 [ARHGDIA ...] [P52565 ...]"	26.6728671510984	24.8147702175306	24.3753520589303	25.6458385171039	25.4941948495289	24.3463513335642	24.6171683460796	24.7984331299331	25.0377258771598	25.6627497063064	25.3010554653314	24.7722672311933	24.8360119539604	24.5924688688359	23.804561032509	24.2694365596061	24.4028711911192	24.6212430710467	18	-0.393336666666667	0.52858892851629	9	26.0607031021664	-1.01012	0.48629	0.396919999999998	-0.809829999999998	-0.901720000000001	-0.541790000000002	-0.347730000000002	-0.39556	-0.41649	206
"Transcriptional repressor p66-alpha [GATAD2A ...] [B5MC40 ...]"	22.23	-0.416	-0.54	0.59926	0.74918	0.29	0.59926	"Transcriptional repressor p66-alpha [GATAD2A ...] [B5MC40 ...]"	20.6271351957683	20.2064110303696	NA	23.8743845813183	23.6175792570468	22.66395019543	22.836101027036	23.2650835257848	22.3268235534202	20.2015437630796	19.1041247363778	NA	23.3191024884425	23.3836578004181	22.5732428217843	22.2097602379872	22.9705076089599	22.5334622241613	16	-0.39025875	0.39111919766732	8	23.5313147679669	-0.425599999999999	-1.10229	NA	-0.55528	-0.233920000000001	-0.0907100000000014	-0.626339999999999	-0.29457	0.20664	207
"Glia maturation factor gamma [GMFG ...] [O60234 ...]"	26.16	-0.388	-1.58	0.13036	0.287817	2.51	0.13036	"Glia maturation factor gamma [GMFG ...] [O60234 ...]"	26.439652413091	26.8251191189102	26.3156632584358	25.7130906426594	26.3482411671467	26.3429093630226	26.1752118204732	26.305225569777	26.6979472767663	26.0999390029017	26.3613304843121	25.8769230229071	25.2407201633673	25.6660926280815	25.8066378683153	26.0535696424418	26.2149521251086	26.3531563247558	18	-0.387748888888889	0.189647202948293	9	27.2036960244849	-0.33971	-0.463789999999999	-0.438740000000003	-0.472370000000002	-0.68215	-0.536269999999998	-0.121639999999999	-0.0902799999999999	-0.34479	208
"Hepatitis B virus X-interacting protein [HBXIP ...] [O43504 ...]"	24.48	-0.387	-1.02	0.32156	0.511154	1.04	0.32156	"Hepatitis B virus X-interacting protein [HBXIP ...] [O43504 ...]"	24.2404122012158	24.9747293152566	24.8779840939767	25.2871318800694	24.0837850985721	24.5359981062215	24.3645135919356	24.3593343094162	25.3334743094978	24.0065816319539	24.758017083872	24.5292409167378	24.8049243826497	23.8333403859387	24.0273792015783	23.6693691048584	24.0736646226891	24.8714093842904	18	-0.387047777777778	0.160964997420073	9	25.557884664921	-0.233830000000001	-0.216710000000003	-0.348739999999999	-0.482210000000002	-0.250450000000001	-0.508620000000001	-0.695139999999999	-0.28567	-0.462059999999997	209
"Macrophage migration inhibitory factor [MIF ...] [P14174 ...]"	26.47	-0.387	-0.53	0.60099	0.74918	0.28	0.60099	"Macrophage migration inhibitory factor [MIF ...] [P14174 ...]"	24.9642904751709	27.5348850834756	27.3991098643963	27.7578482121401	25.7552632794926	25.8318829746243	25.8940984603928	27.3288050990921	27.5465325895103	24.6999080396648	26.0725249459899	26.6015295268745	27.0236424261132	25.919279681514	25.5835636542046	26.3031464787237	26.7770209211022	27.5511374174776	18	-0.386774444444445	0.569830181438099	9	27.74089572258	-0.264379999999999	-1.46237	-0.79758	-0.734210000000001	0.164020000000001	-0.248320000000003	0.409049999999997	-0.55179	0.00460999999999956	210
"ATP synthase subunit alpha, mitochondrial [ATP5A1 ...] [P25705 ...]"	24.98	-0.38	-0.54	0.59437	0.74918	0.29	0.59437	"ATP synthase subunit alpha, mitochondrial [ATP5A1 ...] [P25705 ...]"	24.3707185760192	23.9795750711294	24.2033521775024	25.608984568163	27.556915404064	24.9794979415811	27.1590184824926	24.3494030507872	24.3260317808512	24.3753520589303	24.1790469972992	24.0956385535655	25.9703722398791	25.040549717089	25.5408935654413	24.7570108016774	24.7148618105972	24.4437804681574	18	-0.379555555555555	1.1963385254299	9	26.437583298867	0.00463000000000235	0.199470000000002	-0.107710000000001	0.36139	-2.51637	0.561389999999999	-2.40201	0.365460000000002	0.117750000000001	211
"RNA-binding protein 39 [RBM39 ...] [Q14498 ...]"	21.59	-0.379	-0.53	0.60228	0.74918	0.28	0.60228	"RNA-binding protein 39 [RBM39 ...] [Q14498 ...]"	20.7842554368791	21.6884887969455	21.750608510122	21.6907025419239	20.3375113188193	21.7826133155753	21.046504321592	23.5879585880932	23.3401536693916	21.0229362545724	21.5825077494712	21.1076265590854	21.9337423499478	19.73233085818	21.5171570535863	20.8063705584541	21.9348219242523	22.9564816258859	18	-0.379423333333334	0.572218982580096	9	22.9278923971291	0.238679999999999	-0.105980000000002	-0.642980000000001	0.243040000000001	-0.605180000000001	-0.265449999999998	-0.240130000000001	-1.65314	-0.383670000000002	212
"Actin-related protein 2/3 complex subunit 5 [ARPC5 ...] [O15511 ...]"	23.49	-0.377	-0.9	0.37787	0.5682	0.82	0.37787	"Actin-related protein 2/3 complex subunit 5 [ARPC5 ...] [O15511 ...]"	22.8168788891971	23.3868516818961	24.194042773403	24.0907539550706	23.8232397319689	23.6227610462987	24.0736646226891	23.4509055138069	23.6436878836286	21.8986567007217	23.7241748055504	23.931169163803	23.4180728004175	23.6077631658824	23.4830503965662	23.4185157830854	22.9404263184883	23.2859140335779	18	-0.377226666666666	0.367689991806958	9	24.5713883531641	-0.918220000000002	0.337320000000002	-0.262869999999999	-0.67268	-0.215479999999999	-0.139710000000001	-0.655139999999999	-0.510480000000001	-0.357779999999998	213
