Protein.IDs	avg log2 H/M	std log2 H/M	P-value	N log2 H/M	avg log2 I	Ratio.H.M.count.b1t1	Ratio.H.M.count.b1t2	Ratio.H.M.count.b1t3	Ratio.H.M.count.b2t1	Ratio.H.M.count.b2t2	Ratio.H.M.count.b2t3	Ratio.H.M.count.b3t1	Ratio.H.M.count.b3t2	Ratio.H.M.count.b3t3	Ratio.H.M.count.total
Elongation factor 1-alpha 1 [EEF1A1 ...] [P68104 ...]	0.595372222222222	0.273677679386618	0.121716	9	29.4794234470495	23	26	22	39	35	36	29	32	29	271
Elongation factor 1-beta [EEF1B2 ...] [P24534 ...]	1.45243	0.575058759541145	0.030736	9	26.8727239630209	12	13	14	5	5	6	13	12	11	91
Elongation factor 2 [EEF2 ...] [P13639 ...]	0.143405555555555	0.435240992241974	0.784434	9	27.1578045130836	28	22	28	19	24	18	16	15	15	185
Ena/VASP-like protein [EVL ...] [Q9UI08-2 ...]	0.642911111111111	0.306898380105062	0.079893	9	27.7550983426321	25	25	28	26	29	23	22	25	22	225
Endoplasmic reticulum resident protein 29 [ERP29 ...] [P30040 ...]	-0.862862222222222	0.579929300061176	0.023889	9	26.8616727567316	14	14	12	15	14	16	15	16	12	128
ES1 protein homolog, mitochondrial [C21orf33 ...] [P30042 ...]	-0.332699999999999	0.590935693582643	0.548628	9	26.5587461882729	9	12	13	11	9	13	12	13	13	105
ETS-related transcription factor Elf-1 [ELF1 ...] [P32519 ...]	0.892772222222222	0.147110524332709	0.003531	9	26.1687159768261	8	6	8	5	5	7	6	6	7	58
Eukaryotic initiation factor 4A-I [EIF4A1 ...] [P60842 ...]	1.57469	0.452836399707444	0.047411	9	24.8334540170749	2	4	3	4	2	1	2	3	3	24
Eukaryotic translation initiation factor 1 [EIF1 ...] [P41567 ...]	-0.032574444444444	0.619870498412998	0.9593	9	24.143635872216	4	3	3	3	4	4	3	5	4	33
Eukaryotic translation initiation factor 3 subunit A [EIF3A ...] [Q14152 ...]	0.418534444444444	0.332091445844029	0.397577	9	27.1421615425478	20	22	25	29	26	28	25	23	18	216
Eukaryotic translation initiation factor 3 subunit G [EIF3G ...] [O75821 ...]	0.783832222222222	0.262616100029006	0.000865	9	27.7761299395839	18	19	20	22	24	17	21	20	19	180
Eukaryotic translation initiation factor 4B [EIF4B ...] [E7EX17 ...]	-0.960233333333333	1.13158025399218	0.326	9	27.3417091060913	28	18	24	18	18	15	21	29	26	197
Eukaryotic translation initiation factor 5A-1 [EIF5A ...] [P63241-2 ...]	-0.297198888888889	0.147484579570581	0.284301	9	28.7523934922113	21	29	23	33	33	31	28	31	31	260
Extended synaptotagmin-1 [ESYT1 ...] [Q9BSJ8-2 ...]	-0.730441428571429	2.25006869439156	0.732137	7	25.3412263633557	12	11	9	0	0	3	2	2	1	40
Ezrin [EZR ...] [P15311 ...]	0.0679933333333334	1.11136010196965	0.938999	9	28.4592826192369	24	22	25	24	24	21	22	22	23	207
F-actin-capping protein subunit alpha-1 [CAPZA1 ...] [P52907 ...]	-1.32332444444444	0.14053217586296	0.003717	9	28.4099989511987	7	6	5	6	6	5	7	4	6	52
F-actin-capping protein subunit beta [CAPZB ...] [E7EQ40 ...]	-0.641857777777779	0.620818568761795	0.212723	9	26.5236052706255	9	13	14	13	9	11	11	10	6	96
Far upstream element-binding protein 1 [FUBP1 ...] [Q96AE4 ...]	-0.522359999999999	0.799794585612457	0.412804	9	24.4107889461873	2	2	2	2	2	2	2	3	2	19
Far upstream element-binding protein 2 [KHSRP ...] [Q92945 ...]	0.0889433333333333	0.138080227042107	0.711528	9	29.3124117576292	57	53	53	55	50	55	56	55	54	488
Far upstream element-binding protein 3 [FUBP3 ...] [Q96I24 ...]	0.447408888888889	0.898597576969865	0.572386	9	26.8109417846835	9	12	11	10	11	10	15	14	15	107
Fatty acid-binding protein, epidermal [FABP5 ...] [Q01469 ...]	-0.969504444444445	0.514097651110932	0.020378	9	29.0555104076708	14	16	13	22	17	14	10	9	13	128
FGFR1 oncogene partner 2 [FGFR1OP2 ...] [Q9NVK5 ...]	1.02600444444445	0.822856285327382	0.120663	9	24.7801060973329	2	6	6	4	3	4	6	7	8	46
Filamin-A [FLNA ...] [P21333 ...]	-1.53285111111111	0.231738948519904	1e-06	9	31.8014905890506	229	241	227	198	184	200	209	210	212	1910
Filamin-C [FLNC ...] [Q14315 ...]	-1.04031444444444	0.545806700446941	0.488896	9	23.7439997302473	1	1	1	2	1	1	1	1	2	11
Forkhead box protein O1 [FOXO1 ...] [Q12778 ...]	-0.585574444444444	0.551969507086014	0.32344	9	25.5726773021097	4	8	4	9	9	10	8	5	10	67
Forkhead box protein P1 [FOXP1 ...] [Q9H334 ...]	0.10416	0.28549691968566	0.817053	9	24.4491879194813	6	5	4	6	7	5	4	4	5	46
Formin-binding protein 1 [FNBP1 ...] [H7BY87 ...]	-0.660141111111111	0.463307429776506	0.256124	9	25.7167342673472	11	16	15	11	6	8	11	10	12	100
Fos-related antigen 2 [FOSL2 ...] [P15408 ...]	0.639892222222222	0.523729608452152	0.495316	9	24.3386120068055	3	3	2	2	4	6	3	3	1	27
Fructose-bisphosphate aldolase A [ALDOA ...] [P04075 ...]	-1.49959888888889	0.401713099065877	0.000154	9	28.845233701181	19	16	14	18	15	15	15	17	18	147
FYN-binding protein [FYB ...] [B4DLN2 ...]	1.09864222222222	0.285572014331665	0.028348	9	26.3103573519204	8	7	13	5	6	8	7	10	8	72
Galectin-1 [LGALS1 ...] [P09382 ...]	-0.104247777777777	0.387743823122232	0.76789	9	27.8545046421879	24	24	19	23	21	20	18	21	22	192
Galectin-3 [LGALS3 ...] [P17931 ...]	-0.791318888888889	0.853677665990572	0.417161	9	28.0130394628694	8	7	10	10	12	13	10	8	8	86
Gamma-enolase [ENO2 ...] [P09104 ...]	0.347227777777778	0.582980947647043	0.802654	9	24.392038625187	4	4	3	2	2	3	3	2	2	25
Glia maturation factor beta [GMFB ...] [E7EWZ9 ...]	0.665587777777778	0.9289339279892	0.417392	9	22.6794233787036	2	3	4	2	3	4	1	2	1	22
Glia maturation factor gamma [GMFG ...] [O60234 ...]	-0.387748888888889	0.189647202948293	0.287817	9	27.2036960244849	13	17	12	10	14	14	13	14	15	122
Glucocorticoid receptor [NR3C1 ...] [P04150-3 ...]	-0.629797777777778	0.575886149225213	0.235662	9	25.3180361222611	5	6	6	6	4	7	4	4	4	46
Glucosidase 2 subunit beta [PRKCSH ...] [P14314 ...]	-0.100804444444445	0.696179972584516	0.900109	9	26.8903089554583	14	12	14	7	8	11	9	10	12	97
Glutaredoxin-3 [GLRX3 ...] [O76003 ...]	-0.0458755555555549	0.934283207251835	0.963936	9	21.0516491164277	1	2	1	1	1	1	1	1	1	10
Glutathione S-transferase P [GSTP1 ...] [P09211 ...]	0.616825555555556	0.575196310469546	0.263751	9	26.1694341231874	7	8	6	8	6	10	11	9	11	76
Glyceraldehyde-3-phosphate dehydrogenase [GAPDH ...] [P04406 ...]	-1.34397888888889	0.337633085073295	0.001358	9	29.2058790080894	36	35	33	33	38	39	33	33	32	312
Golgin subfamily A member 3 [GOLGA3 ...] [Q08378 ...]	-0.427112222222222	0.592571195760007	0.789074	9	26.0472311036755	15	19	22	3	3	2	16	16	14	110
Golgin subfamily B member 1 [GOLGB1 ...] [E7EP74 ...]	0.0362066666666667	1.60607946596259	0.989287	6	22.7749368592028	2	5	4	0	0	0	2	4	1	18
Granulins [GRN ...] [P28799 ...]	-1.58258666666667	0.175435284649355	8e-06	9	26.603267283271	10	12	9	9	10	12	12	10	12	96
Granulysin [GNLY ...] [B4E3H9 ...]	-0.607042222222223	0.315657188132068	0.01175	9	25.9898744115599	6	6	7	7	6	7	8	6	7	60
GRIP1-associated protein 1 [GRIPAP1 ...] [Q4V328 ...]	-0.556487777777778	0.518806741349267	0.488896	9	25.3067335653247	9	9	14	5	4	4	9	11	12	77
Growth factor receptor-bound protein 2 [GRB2 ...] [P62993 ...]	0.75375	0.641072237544257	0.190791	9	27.9585261084937	13	15	13	18	23	24	12	13	14	145
Guanine nucleotide-binding protein subunit gamma [GNG2 ...] [G3V3J9 ...]	-3.07901777777778	2.04294460841317	0.031947	9	25.7899805466501	1	1	2	2	2	1	1	1	1	12
Heat shock 70 kDa protein 1A/1B [HSPA1B ...] [H0YG33 ...]	-0.411928888888888	0.523888427683903	0.504734	9	28.1089376282726	23	21	23	19	16	19	20	21	22	184
Heat shock 70 kDa protein 6 [HSPA6 ...] [P17066 ...]	0.672321111111111	0.332823201281268	0.190791	9	24.6298000802213	1	2	2	2	2	2	2	2	1	16
Heat shock cognate 71 kDa protein [HSPA8 ...] [P11142 ...]	-2.04505888888889	0.403761928041899	0	9	29.8798985041671	53	58	58	37	42	39	49	44	53	433
Heat shock protein HSP 90-alpha [HSP90AA1 ...] [P07900-2 ...]	-1.30787666666667	0.636916076967759	0.121716	9	26.6656079900802	19	13	16	7	7	8	7	10	4	91
Heat shock protein HSP 90-beta [HSP90AB1 ...] [P08238 ...]	-0.835811111111112	0.974892300826666	0.509422	9	26.3845999834561	10	13	12	1	5	3	4	6	4	58
Hematological and neurological expressed 1-like protein [HN1L ...] [B4DLH4 ...]	1.47845444444444	1.22015745664352	0.234418	9	26.1013533942548	1	3	2	7	6	4	3	5	3	34
Hematological and neurological expressed 1 protein [HN1 ...] [Q9UK76-2 ...]	0.121102222222223	0.265555144168672	0.769791	9	24.0923473147503	2	2	2	2	2	3	2	3	2	20
Hematopoietic lineage cell-specific protein [HCLS1 ...] [P14317 ...]	1.60439888888889	0.206984631279985	0.000182	9	30.2638178669173	61	62	67	42	47	44	52	56	49	480
Hepatitis B virus X-interacting protein [HBXIP ...] [O43504 ...]	-0.387047777777778	0.160964997420073	0.511154	9	25.557884664921	4	3	3	3	3	3	3	3	4	29
Heterogeneous nuclear ribonucleoprotein A/B [HNRNPAB ...] [Q99729-3 ...]	0.811193333333333	0.546927023948351	0.06486	9	26.468838765768	12	12	10	10	14	16	7	10	9	100
Heterogeneous nuclear ribonucleoprotein A0 [HNRNPA0 ...] [Q13151 ...]	0.336951111111111	0.307576331763533	0.371512	9	25.5622959921757	7	9	9	15	9	10	11	9	7	86
Heterogeneous nuclear ribonucleoprotein A1 [HNRNPA1 ...] [P09651 ...]	-2.05191888888889	0.348421455655519	3.3e-05	9	30.1565255385068	20	24	25	32	36	38	29	23	25	252
Heterogeneous nuclear ribonucleoprotein A3 [HNRNPA3 ...] [P51991 ...]	0.538833333333333	0.673642833703439	0.488896	9	22.1205542008306	2	2	2	2	2	1	2	2	1	16
Heterogeneous nuclear ribonucleoprotein D-like [HNRPDL ...] [O14979 ...]	-0.0904744444444445	0.275857274877387	0.80164	9	27.662310355861	23	17	20	23	21	24	20	19	16	183
Heterogeneous nuclear ribonucleoprotein D0 [HNRNPD ...] [Q14103 ...]	0.642715555555556	1.29065191077137	0.486238	9	29.8983248573641	42	34	34	38	43	41	31	31	35	329
Heterogeneous nuclear ribonucleoprotein F [HNRNPF ...] [P52597 ...]	-0.847193333333333	0.520208334107595	0.089661	9	27.524374878165	17	14	15	9	8	8	9	11	13	104
Heterogeneous nuclear ribonucleoprotein H [HNRNPH1 ...] [G8JLB6 ...]	0.341776666666668	0.158962576963888	0.169946	9	28.7497253318846	36	29	31	25	34	30	28	30	31	274
Heterogeneous nuclear ribonucleoprotein H2 [HNRNPH2 ...] [P55795 ...]	0.67506	0.330479896551969	0.475943	9	23.4376618369656	2	4	3	5	5	3	2	2	1	27
Heterogeneous nuclear ribonucleoprotein H3 [HNRNPH3 ...] [P31942 ...]	0.229076666666667	0.335741826966793	0.486469	9	27.1730091368518	18	19	20	15	17	13	17	13	12	144
Heterogeneous nuclear ribonucleoprotein L [HNRNPL ...] [P14866 ...]	-0.610593333333334	0.324358168041132	0.051491	9	26.2427107271425	13	11	12	14	15	14	12	12	12	115
Heterogeneous nuclear ribonucleoprotein M [HNRNPM ...] [P52272 ...]	-0.207243333333334	0.144701478655197	0.34794	9	30.5622204104081	81	88	87	95	97	92	90	88	88	806
Heterogeneous nuclear ribonucleoprotein Q [SYNCRIP ...] [O60506-3 ...]	0.726803333333334	0.863615403087509	0.124737	9	26.3418002804618	11	11	10	7	9	11	8	12	10	89
Heterogeneous nuclear ribonucleoprotein R [HNRNPR ...] [O43390-2 ...]	0.273683333333333	1.29201488145454	0.88418	9	25.7947959475473	6	7	7	7	2	5	4	5	6	49
Heterogeneous nuclear ribonucleoprotein U [HNRNPU ...] [Q00839 ...]	0.738997777777778	0.702736345416574	0.318122	9	25.8537858278778	13	7	8	13	12	17	10	9	8	97
Heterogeneous nuclear ribonucleoproteins A2/B1 [HNRNPA2B1 ...] [P22626 ...]	-0.620675555555556	0.489026047264129	0.126005	9	30.2447073131637	51	51	55	60	55	55	64	56	54	501
Heterogeneous nuclear ribonucleoproteins C1/C2 [HNRNPC ...] [P07910-2 ...]	-1.11350222222222	0.805344234175327	0.163228	9	26.6921374091728	13	11	12	7	6	7	5	7	8	76
High mobility group protein B1 [HMGB1 ...] [P09429 ...]	0.853916666666666	0.41127439088764	0.020378	9	29.249345222249	45	44	50	46	44	43	44	42	48	406
High mobility group protein B2 [HMGB2 ...] [P26583 ...]	-0.929958888888888	0.190387646424632	0.001181	9	30.0228903139561	77	74	76	79	81	86	82	84	61	700
Histidine triad nucleotide-binding protein 1 [HINT1 ...] [P49773 ...]	-0.503153333333334	0.265369696885308	0.238145	9	27.3814341125702	12	9	9	20	17	21	8	8	8	112
Histone-lysine N-methyltransferase MLL [MLL ...] [E9PQG7 ...]	-2.08699666666667	0.914613326411768	0.109614	9	24.3016049053414	3	2	2	2	3	2	2	3	2	21
Histone acetyltransferase KAT6A [KAT6A ...] [Q92794 ...]	-1.30847125	1.07474999449623	0.087693	8	23.5643797671705	0	1	1	2	2	2	1	2	1	12
Histone acetyltransferase p300 [EP300 ...] [Q09472 ...]	-0.839454444444444	1.116626542304	0.497357	9	23.3884699708954	2	1	1	1	2	2	2	1	2	14
Histone deacetylase complex subunit SAP18 [SAP18 ...] [O00422 ...]	-0.624941111111111	1.51041428550617	0.652906	9	24.3346788666788	1	1	3	3	2	2	3	3	2	20
Histone H2B type 1-C/E/F/G/I [HIST1H2BC ...] [P62807 ...]	-1.18524333333333	0.622079296573195	0.012591	9	26.5950239011263	15	13	13	9	7	9	13	11	8	98
Histone H2B type 2-E [HIST2H2BE ...] [Q16778 ...]	-1.74341888888889	0.395611586263738	0.008891	9	23.5254431678043	2	2	2	3	1	1	3	2	2	18
Histone H3.3 [H3F3A ...] [P84243 ...]	-0.0564233333333332	0.477995433738649	0.948435	9	25.4546444486975	6	5	5	8	8	7	7	4	7	57
HLA class I histocompatibility antigen, A-2 alpha chain [HLA-A ...] [A9R9N7 ...]	-0.0243022222222223	0.287575390583833	0.977081	9	24.5627257217771	1	3	1	2	4	2	2	1	1	17
HLA class I histocompatibility antigen, A-3 alpha chain [HLA-A ...] [Q5SRN5 ...]	0.428762222222222	0.19755087242137	0.09085	9	29.089383843604	19	21	19	17	22	19	16	17	18	168
HLA class I histocompatibility antigen, alpha chain E [HLA-E ...] [F8VPA9 ...]	0.3462875	0.101768105689918	0.350221	8	23.2167141944155	1	1	1	1	1	0	1	1	1	8
HLA class I histocompatibility antigen, B-15 alpha chain [HLA-B ...] [P30464 ...]	-0.0222666666666669	0.157817725715459	0.948435	9	26.2726010454083	2	2	2	2	2	3	2	2	3	20
HLA class I histocompatibility antigen, B-41 alpha chain [HLA-B ...] [P30479 ...]	0.315451111111111	0.216570557869972	0.633424	9	24.6232645012857	1	1	2	3	3	3	2	2	1	18
HLA class I histocompatibility antigen, B-42 alpha chain [HLA-B ...] [P30480 ...]	0.413848888888889	0.420190111331896	0.65043	9	24.2956832044299	1	2	2	4	2	3	1	1	2	18
HLA class I histocompatibility antigen, B-67 alpha chain [HLA-B ...] [Q29836 ...]	0.576897777777778	0.351050513451334	0.287817	9	23.8120214873855	2	1	1	1	1	2	1	1	1	11
HLA class I histocompatibility antigen, B-8 alpha chain [HLA-B ...] [P30460 ...]	0.269641111111112	0.229329557103116	0.388898	9	28.8700562973525	18	17	20	18	23	18	15	19	13	161
HLA class I histocompatibility antigen, Cw-12 alpha chain [HLA-C ...] [P30508 ...]	-0.311114444444444	0.170473730169131	0.502264	9	26.9617087621886	10	8	10	7	8	10	8	11	8	80
HLA class I histocompatibility antigen, Cw-14 alpha chain [HLA-C ...] [P30510 ...]	0.712019999999999	1.7857348617306	0.497357	9	25.7470082674538	3	3	3	3	2	2	1	3	2	22
HLA class I histocompatibility antigen, Cw-6 alpha chain [HLA-C ...] [B0UY15 ...]	0.400222222222221	0.349831917275202	0.539864	9	25.4653227493025	2	2	4	3	2	3	3	2	3	24
Homeobox protein TGIF1 [TGIF1 ...] [Q15583 ...]	1.60331555555556	0.641382122862634	0.001411	9	24.7717987145859	3	3	4	4	4	4	4	4	3	33
Hsc70-interacting protein [ST13 ...] [P50502 ...]	-1.24207111111111	0.604321877095403	0.069265	9	25.5027025439431	14	9	12	6	5	4	8	8	8	74
Huntingtin-interacting protein K [HYPK ...] [Q9NX55 ...]	0.687434444444444	0.33945380650801	0.133206	9	23.0700947016057	1	2	2	1	2	1	1	1	2	13
Ig alpha-1 chain C region [IGHA1 ...] [P01876 ...]	-0.216664444444445	0.178807905034363	0.720341	9	26.3932893452903	6	4	4	9	7	8	6	9	5	58
Ig kappa chain C region [IGKC ...] [P01834 ...]	-0.61538	0.975146927467855	0.732041	5	20.5310214191693	0	0	0	0	2	1	2	1	0	6
Ig lambda-2 chain C regions [IGLC2 ...] [P0CG05 ...]	0.121837777777778	0.468656235122766	0.818371	9	25.4605603750248	6	5	4	6	6	4	3	6	5	45
Immunoglobulin J chain [IGJ ...] [P01591 ...]	0.0816466666666666	0.287991770021297	0.912228	9	24.5816628971326	4	2	2	3	3	2	3	3	3	25
Importin subunit beta-1 [KPNB1 ...] [Q14974 ...]	-1.18592111111111	0.724939125710642	0.0717	9	24.6707884377343	5	5	6	4	3	4	3	4	4	38
Inositol-trisphosphate 3-kinase B [ITPKB ...] [P27987 ...]	0.0421099999999994	0.592281928202271	0.961447	9	24.4718799418182	3	5	6	4	2	2	3	3	6	34
Interferon-induced GTP-binding protein Mx2 [MX2 ...] [P20592 ...]	0.780085555555555	0.26643108743684	0.028716	9	24.1128912048061	5	4	4	6	3	5	5	5	5	42
Interferon-induced guanylate-binding protein 1 [GBP1 ...] [P32455 ...]	-0.923668888888889	1.25298477143025	0.724947	9	25.5886891544191	6	7	6	6	5	4	1	3	2	40
Interferon-induced guanylate-binding protein 2 [GBP2 ...] [P32456 ...]	0.248056666666665	0.739035164724927	0.769491	9	24.2675618278952	6	6	8	4	4	4	4	2	2	40
Interferon regulatory factor 1 [IRF1 ...] [P10914 ...]	0.905959999999999	0.312984731217035	0.025319	9	25.1296031149212	1	2	2	2	2	2	2	2	3	18
Interferon regulatory factor 2-binding protein 2 [IRF2BP2 ...] [Q7Z5L9 ...]	-0.565856666666667	0.567128617599218	0.287817	9	26.8847476183899	10	11	8	15	14	15	11	13	12	109
Interferon regulatory factor 4 [IRF4 ...] [H0Y5H1 ...]	1.98511222222222	0.57322952211086	0.007225	9	23.8110559362794	1	1	2	2	1	2	1	2	1	13
Iron-sulfur cluster assembly enzyme ISCU, mitochondrial [ISCU ...] [Q9H1K1 ...]	1.41395444444444	0.885572018614396	0.087693	9	25.6584752676794	3	2	2	2	3	4	3	4	4	27
Krueppel-like factor 10 [KLF10 ...] [Q13118 ...]	2.51179888888889	0.457368243061442	0.001692	9	25.5134703802503	3	3	2	5	3	2	2	5	2	27
Krueppel-like factor 13 [KLF13 ...] [Q9Y2Y9 ...]	-0.901254444444444	0.190102451924686	0.019153	9	25.7086884023644	4	5	3	6	8	6	3	4	5	44
L-lactate dehydrogenase B chain [LDHB ...] [P07195 ...]	-0.949329999999999	1.15888809879341	0.238145	9	25.9954306102795	8	10	8	11	7	5	4	8	8	69
Lamin-B1 [LMNB1 ...] [P20700 ...]	1.60810555555556	0.505701257391928	0.000335	9	29.6286688388027	63	62	57	33	35	40	56	49	48	443
Large proline-rich protein BAG6 [BAG6 ...] [G3V1Z5 ...]	1.02058333333333	0.382138129280501	0.047411	9	25.5305954554765	6	5	5	6	5	4	2	5	3	41
Leucine-rich repeat flightless-interacting protein 1 [LRRFIP1 ...] [Q32MZ4-3 ...]	0.521762222222222	0.412263967585629	0.190941	9	27.69480750208	28	28	31	25	25	20	34	35	32	258
Leucine zipper protein 1 [LUZP1 ...] [Q86V48 ...]	-0.972428888888889	2.34875151350374	0.591614	9	25.512046712476	1	5	3	3	2	4	6	6	7	37
Leupaxin [LPXN ...] [O60711 ...]	-1.10600555555556	1.05365043729065	0.074477	9	27.6624605207332	9	9	8	7	6	6	9	8	13	75
LIM and SH3 domain protein 1 [LASP1 ...] [Q14847 ...]	-0.732885555555555	0.622591497314071	0.074745	9	28.5444136890252	28	26	32	30	30	31	31	32	30	270
LIM domain-containing protein 2 [LIMD2 ...] [Q9BT23 ...]	-1.21411111111111	0.480306314122676	0.006749	9	27.7059508970612	11	11	14	15	18	14	15	14	16	128
Low molecular weight phosphotyrosine protein phosphatase [ACP1 ...] [P24666 ...]	-0.802715555555555	0.359714305842537	0.030732	9	25.8009157548954	10	12	9	9	10	11	9	9	7	86
Lymphocyte-specific protein 1 [LSP1 ...] [P33241 ...]	-0.711386666666667	0.144850553329976	0.004268	9	29.6314798235939	39	38	35	43	42	44	47	49	40	377
Lymphoid enhancer-binding factor 1 [LEF1 ...] [Q9UJU2 ...]	0.953775714285714	0.406321331865029	0.494742	7	25.1564265456332	1	0	0	5	6	6	4	4	5	31
Lysine-specific demethylase 6B [KDM6B ...] [O15054-1 ...]	3.72458142857143	0.618812679422687	1e-06	7	24.6631167166867	1	1	0	2	3	2	0	2	1	12
Lysosome-associated membrane glycoprotein 2 [LAMP2 ...] [P13473-3 ...]	-0.149804444444445	0.552698655894673	0.927063	9	22.0495003222308	2	2	2	1	1	0	2	2	3	15
Lysozyme C [LYZ ...] [P61626 ...]	0.77497	1.04615023003391	0.169946	9	25.3763622653855	4	5	6	5	5	7	5	6	4	47
M-phase-specific PLK1-interacting protein [MPLKIP ...] [Q8TAP9 ...]	-0.551379999999999	0.691920825618799	0.591614	9	22.1582611706476	2	1	1	1	1	1	1	1	1	10
Macrophage migration inhibitory factor [MIF ...] [P14174 ...]	-0.386774444444445	0.569830181438099	0.74918	9	27.74089572258	3	5	5	5	5	4	8	5	7	47
Major vault protein [MVP ...] [Q14764 ...]	-0.173512222222222	0.327058950946836	0.725035	9	25.2322241592726	11	11	14	15	8	9	10	11	7	96
Malate dehydrogenase [MDH1 ...] [F5H098 ...]	-1.03162444444444	0.447202186295839	0.019001	9	25.5715787414356	9	11	15	9	11	8	7	9	7	86
MAPK-interacting and spindle-stabilizing protein-like [MAPK1IP1L ...] [Q8NDC0 ...]	0.488517777777778	0.203879690183805	0.087693	9	26.3177411131782	2	2	2	2	2	2	2	2	2	18
Mastermind-like protein 2 [MAML2 ...] [Q8IZL2 ...]	-0.246052500000001	1.92486083451506	0.888115	8	23.9298044719309	2	2	1	3	2	3	1	3	0	17
Matrin-3 [MATR3 ...] [A8MXP9 ...]	0.476382222222222	0.269059194870654	0.126116	9	27.7473566643169	24	24	25	25	30	28	23	27	23	229
Melanoma-associated antigen D2 [MAGED2 ...] [Q9UNF1 ...]	0.991413333333333	0.221624053861489	0.003453	9	24.7659830357944	3	3	3	4	4	3	3	2	3	28
Methyl-CpG-binding domain protein 2 [MBD2 ...] [Q9UBB5 ...]	-0.714515555555555	1.68972200673004	0.591614	9	24.6141346345478	2	4	2	1	3	3	3	2	2	22
Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 [MACF1 ...] [H3BQK9 ...]	-0.0366328571428559	1.51498101296919	0.83729	7	23.5672309173227	7	8	5	1	0	0	1	0	2	24
Microtubule-associated protein [MAP4 ...] [E7EVA0 ...]	0.389792222222223	0.323464876523627	0.14567	9	28.8331626319824	45	42	47	44	40	46	52	55	48	419
Mitochondrial fission 1 protein [FIS1 ...] [Q9Y3D6 ...]	-0.871662222222223	0.879213666391421	0.270656	9	23.5989129441486	2	1	1	2	4	5	2	2	3	22
Mitochondrial import inner membrane translocase subunit Tim10 [TIMM10 ...] [P62072 ...]	-3.85512888888889	0.763361131124129	0	9	27.7313177945411	8	6	6	5	4	4	4	2	4	43
Moesin [MSN ...] [P26038 ...]	0.413576666666668	0.169692362821666	0.177184	9	29.2709948745075	49	58	61	68	67	74	61	59	55	552
MORF4 family-associated protein 1 [MRFAP1 ...] [Q9Y605 ...]	0.32559625	0.211301890664079	0.653402	8	25.8593749477919	1	1	2	2	2	2	2	1	0	13
Muscleblind-like protein 1 [MBNL1 ...] [Q9NR56 ...]	0.0943911111111113	0.0839487881753574	0.83729	9	27.910714543037	11	15	13	14	18	15	13	15	15	129
Muscleblind-like protein 2 [MBNL2 ...] [Q5VZF2 ...]	1.36754	0.642589343871451	0.020131	8	22.0674707226138	0	1	1	1	1	1	1	1	1	8
Myc box-dependent-interacting protein 1 [BIN1 ...] [O00499 ...]	-1.13479777777778	0.345960287669617	0.005795	9	24.3636239873427	6	3	2	3	3	3	2	2	2	26
Myelin expression factor 2 [MYEF2 ...] [Q9P2K5 ...]	0.42957	0.473832150344402	0.630256	9	23.9620408295287	1	1	1	3	2	1	1	2	1	13
Myeloperoxidase [MPO ...] [P05164 ...]	-1.03657111111111	0.292081328034011	0.07575	9	26.1836916170902	7	11	12	13	10	12	12	12	9	98
Myosin-9 [MYH9 ...] [P35579 ...]	-0.405943333333333	0.22213969225467	0.092777	9	30.8893750402218	201	191	208	176	173	169	189	189	190	1686
Myosin light chain 3 [MYL3 ...] [P08590 ...]	0.322914444444444	0.277775249442383	0.458355	9	26.443437235794	4	5	5	5	5	4	5	4	3	40
Myosin regulatory light chain 12B [MYL12B ...] [O14950 ...]	-0.192898888888888	0.240915423771727	0.853142	9	26.648817710554	10	9	10	4	4	3	5	5	7	57
Myotrophin [MTPN ...] [P58546 ...]	0.241138888888888	0.920804184591443	0.706094	9	27.5377741931402	9	12	11	12	10	10	10	11	9	94
Na(+)/H(+) exchange regulatory cofactor NHE-RF1 [SLC9A3R1 ...] [O14745 ...]	-0.725061111111111	0.33457884468554	0.038415	9	28.4629814970318	20	25	27	21	20	17	23	20	28	201
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 [NDUFA5 ...] [Q16718 ...]	0.230095555555556	0.298415903736342	0.593124	9	24.5932610458837	3	4	3	8	5	6	4	5	6	44
NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial [NDUFV2 ...] [E7EPT4 ...]	0.627726666666667	0.46744950524094	0.504734	9	25.6136625770324	8	6	3	7	10	7	6	6	6	59
NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 [NDUFS5 ...] [O43920 ...]	-1.04118555555556	3.11479315061254	0.660342	9	25.3493726020747	1	2	2	2	3	4	1	1	1	17
Nascent polypeptide-associated complex subunit alpha [NACA ...] [E9PAV3 ...]	-0.0938942857142858	0.497615964804759	0.927063	7	23.1994731697393	1	2	4	0	1	3	0	2	1	14
NEDD8 [NEDD8 ...] [Q15843 ...]	-0.073798888888889	0.418108114859197	0.912228	9	24.4396317513306	4	6	5	8	8	8	4	5	6	54
Negative elongation factor E [RDBP ...] [B4DYX9 ...]	0.0635944444444437	0.461854094387803	0.927063	9	24.3030798743361	4	3	4	3	5	7	4	7	6	43
Nesprin-1 [SYNE1 ...] [E7EQI5 ...]	0.331814444444445	0.784567911323027	0.59209	9	23.9461061780862	8	2	4	3	3	2	5	3	2	32
